Angle (radians),Range
1.8926,2.788
1.898,2.792
1.9035,2.792
1.909,2.796
1.9144,2.796
1.9199,2.804
1.9253,2.804
1.9308,2.816
1.9362,2.816
1.9417,2.82
1.9471,2.828
1.9526,2.828
1.958,2.84
1.9635,2.84
1.9689,2.856
1.9744,2.856
1.9799,2.88
1.9853,2.88
1.9908,2.892
1.9962,2.892
2.0017,2.908
2.0071,2.908
2.0126,3.168
2.018,3.168
2.0235,3.168
2.0289,3.208
2.0344,3.208
2.0399,3.208
2.0453,3.208
2.0508,3.2
2.0562,3.2
2.0617,3.008
2.0671,3.008
2.0726,3.008
2.078,3.012
2.0835,3.012
2.0889,3.024
2.0944,3.024
2.0998,0
2.1053,3.144
2.1108,3.144
2.1162,3.144
2.1217,3.144
2.1271,3.1
2.1326,3.1
2.138,3.092
2.1435,3.104
2.1489,3.104
2.1544,3.12
2.1598,3.12
2.1653,3.12
2.1708,3.14
2.1762,3.14
2.1817,3.172
2.1871,3.172
2.1926,3.204
2.198,3.224
2.2035,3.224
2.2089,3.24
2.2144,3.24
2.2198,3.26
2.2253,3.26
2.2307,3.288
2.2362,3.288
2.2417,3.312
2.2471,3.312
2.2526,3.34
2.258,3.34
2.2635,3.368
2.2689,3.368
2.2744,3.408
2.2798,3.408
2.2853,3.444
2.2907,3.444
2.2962,3.472
2.3017,3.472
2.3071,3.5
2.3126,3.5
2.318,3.52
2.3235,3.52
2.3289,3.52
2.3344,3.552
2.3398,3.552
2.3453,3.588
2.3507,3.588
2.3562,3.64
2.3616,3.64
2.3671,3.676
2.3726,3.676
2.378,3.704
2.3835,3.704
2.3889,3.74
2.3944,3.78
2.3998,3.78
2.4053,3.836
2.4107,3.836
2.4162,3.888
2.4216,3.888
2.4271,3.932
2.4326,3.932
2.438,3.932
2.4435,3.968
2.4489,4.032
2.4544,4.032
2.4598,0
2.4653,4.184
2.4707,4.184
2.4762,4.184
2.4816,4.184
2.4871,4.184
2.4925,4.184
2.498,4.24
2.5035,4.24
2.5089,4.296
2.5144,4.296
2.5198,9.368
2.5253,9.368
2.5307,9.368
2.5362,9.368
2.5416,9.296
2.5471,9.296
2.5525,9.168
2.558,9.168
2.5635,9.096
2.5689,9.096
2.5744,0
2.5798,0
2.5853,0
2.5907,0
2.5962,0
2.6016,0
2.6071,0
2.6125,0
2.618,0
2.6234,0
2.6289,8.496
2.6344,8.496
2.6398,8.496
2.6453,8.496
2.6507,0
2.6562,0
2.6616,8.464
2.6671,8.464
2.6725,8.464
2.678,8.464
2.6834,8.44
2.6889,8.44
2.6944,8.376
2.6998,8.376
2.7053,8.32
2.7107,8.32
2.7162,8.256
2.7216,8.256
2.7271,8.184
2.7325,8.184
2.738,8.216
2.7434,8.216
2.7489,8.232
2.7543,8.232
2.7598,8.184
2.7653,8.184
2.7707,8.144
2.7762,8.144
2.7816,8.128
2.7871,8.128
2.7925,8.096
2.798,8.096
2.8034,0
2.8089,0
2.8143,0
2.8198,0
2.8253,7.912
2.8307,7.912
2.8362,7.912
2.8416,7.912
2.8471,7.888
2.8525,7.888
2.858,7.888
2.8634,7.888
2.8689,7.864
2.8743,7.864
2.8798,7.84
2.8852,7.84
2.8907,7.752
2.8962,7.752
2.9016,7.64
2.9071,7.64
2.9125,0
2.918,0
2.9234,7.624
2.9289,7.624
2.9343,7.624
2.9398,7.624
2.9452,7.6
2.9507,7.6
2.9562,7.552
2.9616,7.552
2.9671,7.504
2.9725,7.504
2.978,7.52
2.9834,7.52
2.9889,3.456
2.9943,3.456
2.9998,3.456
3.0052,0
3.0107,0
3.0161,3.276
3.0216,3.276
3.0271,3.276
3.0325,3.276
3.038,0
3.0434,0
3.0489,3.384
3.0543,3.384
3.0598,3.384
3.0652,3.384
3.0707,3.384
3.0761,3.384
3.0816,3.38
3.0871,3.38
3.0925,3.352
3.098,3.352
3.1034,3.34
3.1089,3.34
3.1143,3.332
3.1198,3.332
3.1252,3.312
3.1307,3.312
3.1361,3.32
3.1416,3.32
